angle	VV	VH	HV	HH
1e-06	1.377661740909946e-09	4.2097461933209e-26	4.212012942723234e-26	1.377661767797286e-09
1.2e-06	1.983831643935101e-09	6.025306346376988e-26	6.028584950479918e-26	1.983831682573172e-09
1.44e-06	2.856715574966521e-09	8.618874036303394e-26	8.623617484553706e-26	2.856715630479559e-09
1.728e-06	4.113667285149115e-09	1.232100595451257e-25	1.232787062177311e-25	4.113667364889579e-09
2.0736e-06	5.923675932886047e-09	1.760110189186627e-25	1.761103906451533e-25	5.923676047399551e-09
2.48832e-06	8.530085522527351e-09	2.512482296843566e-25	2.513921158072795e-25	8.530085686933506e-09
2.985983999999999e-06	1.228331081489889e-08	3.583475434097834e-25	3.585559344633264e-25	1.228331105086598e-08
3.583180799999999e-06	1.768794811034813e-08	5.106344771246329e-25	5.10936355327814e-25	1.768794844891463e-08
4.29981696e-06	2.547061457412163e-08	7.269142273888459e-25	7.273516071143434e-25	2.547061505972361e-08
5.159780351999999e-06	3.667763654569666e-08	1.033673712333531e-24	1.034307489654792e-24	3.667763724191356e-08
6.191736422399998e-06	5.281572020018193e-08	1.4681409931143e-24	1.46905939992997e-24	5.281572119792605e-08
7.430083706879997e-06	7.605451650460676e-08	2.082521687154962e-24	2.083852492265205e-24	7.6054517933776e-08
8.916100448255996e-06	1.095183134969561e-07	2.949844497335316e-24	2.95177257441844e-24	1.095183155430076e-07
1.069932053790719e-05	1.577060711790157e-07	4.171997510581849e-24	4.174790076275334e-24	1.577060741064781e-07
1.283918464548863e-05	2.270962686150826e-07	5.890735687283073e-24	5.89477840480924e-24	2.270962728009032e-07
1.540702157458636e-05	3.270178787703747e-07	8.302705038131735e-24	8.308553485069921e-24	3.270178847510875e-07
1.848842588950363e-05	4.709045643756837e-07	1.167988727640369e-23	1.168833985788912e-23	4.709045729139522e-07
2.218611106740436e-05	6.781007074212777e-07	1.639736171918587e-23	1.640956228684648e-23	6.781007195997317e-07
2.662333328088523e-05	9.76462071652164e-07	2.297098740750691e-23	2.298856843910132e-23	9.764620890050057e-07
3.194799993706227e-05	1.406100724680749e-06	3.21086624273365e-23	3.213394250123816e-23	1.406100749378251e-06
3.833759992447473e-05	2.024777674772961e-06	4.478048473891433e-23	4.481673712677113e-23	2.024777709878341e-06
4.600511990936967e-05	2.915668185686157e-06	6.231591611221384e-23	6.236772716498472e-23	2.915668235512548e-06
5.520614389124361e-05	4.19854369715982e-06	8.654089321024093e-23	8.661462852800283e-23	4.198543767762348e-06
6.624737266949233e-05	6.045873573927167e-06	1.199765379252445e-22	1.200809269157295e-22	6.045873673778433e-06
7.949684720339079e-05	8.706011268475117e-06	1.661370822595342e-22	1.662839121728571e-22	8.706011409382612e-06
9.539621664406894e-05	1.253658180440855e-05	2.299941009671129e-22	2.301989667008958e-22	1.253658200274873e-05
0.0001144754599728827	1.805255875847519e-05	3.187285877402538e-22	3.190115573820581e-22	1.805255903682991e-05
0.0001373705519674593	2.599549341847246e-05	4.429924510515728e-22	4.433783437300586e-22	2.599549380776205e-05
0.0001648446623609511	3.743320182880817e-05	6.190834213099103e-22	6.196011057648394e-22	3.743320237099926e-05
0.0001978135948331413	5.390330894299199e-05	8.727666403640553e-22	8.734462646180608e-22	5.390330969441748e-05
0.0002373763137997696	7.761994286445906e-05	1.24606453083278e-21	1.246930754837847e-21	7.761994389967246e-05
0.0002848515765597235	0.0001117713574415451	1.809376139880267e-21	1.810434072723088e-21	0.0001117713588573707
0.0003418218918716682	0.0001609484768711553	2.683104328231086e-21	2.684312644944161e-21	0.0001609484787901613
0.0004101862702460018	0.0002317619393039107	4.076111798278305e-21	4.077333999211114e-21	0.0002317619418756363
0.0004922235242952021	0.0003337305227334295	6.353704963099158e-21	6.354624228723827e-21	0.0003337305261301854
0.0005906682291542426	0.0004805602497376136	1.015695596545036e-20	1.01569305662917e-20	0.0004805602541392404
0.000708801874985091	0.0006919858462424332	1.661045746073815e-20	1.660828076063026e-20	0.0006919858517997777
0.0008505622499821091	0.0009964215391136673	2.768100016066322e-20	2.767450979475337e-20	0.000996421545874013
0.001020674699978531	0.001434776386280787	4.679146170319985e-20	4.677691358540003e-20	0.001434776394047081
0.001224809639974237	0.002065944666696105	7.98623507578039e-20	7.983343105000225e-20	0.002065944674775082
0.001469771567969084	0.002974704534232569	1.370635399414264e-19	1.370098262533196e-19	0.002974704541000361
0.001763725881562902	0.004283076724181115	2.357348516813746e-19	2.356394461162315e-19	0.004283076726359621
0.002116471057875481	0.006166649589039407	4.052131893938666e-19	4.050491199666765e-19	0.006166649580523643
0.002539765269450578	0.00887802237472855	6.947414543773434e-19	6.944662653470782e-19	0.008878022344745577
0.003047718323340693	0.01278043012173364	1.186313335105822e-18	1.185861044191107e-18	0.01278043005204511
0.003657261988008832	0.01839588841797038	2.015349472738004e-18	2.014618743818613e-18	0.01839588827880112
0.004388714385610598	0.02647395421621273	3.403679071692008e-18	3.40251601595406e-18	0.02647395396066878
0.005266457262732717	0.03808957002828202	5.711662620584897e-18	5.709836071109809e-18	0.03808956958540987
0.00631974871527926	0.05478154305933931	9.519772514098079e-18	9.516938896192032e-18	0.05478154232709222
0.007583698458335113	0.07874697465655163	1.575498950632115e-17	1.57506435493434e-17	0.0787469734986542
0.009100438150002135	0.1131109909169098	2.588450736516996e-17	2.587791384959576e-17	0.1131109891736245
0.01092052578000256	0.1622941256065585	4.220900704508997e-17	4.21991075871907e-17	0.1622941231422841
0.01310463093600307	0.2324983747498628	6.830044316880613e-17	6.828573084238461e-17	0.2324983715866815
0.01572555712320369	0.3323198211583046	1.096441832180708e-16	1.096225366545086e-16	0.3323198177962171
0.01887066854784443	0.4734551134173571	1.745591189647351e-16	1.745275869968658e-16	0.4734551115393832
0.02264480225741331	0.6713699477627098	2.754725759471691e-16	2.754271044419848e-16	0.6713699516967317
0.02717376270889597	0.9455832123032573	4.305977977850142e-16	4.305328944219666e-16	0.9455832318935301
0.03260851525067517	1.318798166457706	6.6596007398054e-16	6.658684179252429e-16	1.318798222373076
0.0391302183008102	1.813365211318734	1.017494941746909e-15	1.017366974172257e-15	1.813365344067173
0.04695626196097223	2.442449352669603	1.532644184690444e-15	1.532467780565529e-15	2.442449635822849
0.05634751435316668	3.192208048112298	2.271064045537019e-15	2.270824490394087e-15	3.192208601989046
0.06761701722380001	3.992126033912465	3.307039242807595e-15	3.306719904655236e-15	3.992127022937003
0.08114042066856	4.678678606288148	4.748164584921515e-15	4.747748590829502e-15	4.67868017531499
0.09736850480227199	4.982754219632195	6.813878397454327e-15	6.813349954080208e-15	4.982756293952704
0.1168422057627264	4.619488421874348	1.003968825806594e-14	1.003902492363503e-14	4.619490359879234
0.1402106469152716	3.583721549229348	1.550680287442623e-14	1.550593085803894e-14	3.583722064979794
0.168252776298326	2.555522160549107	2.424166718675135e-14	2.424033789566113e-14	2.555520775570927
0.2019033315579911	2.657299944695051	3.450385753261224e-14	3.450154556216637e-14	2.657300127774977
0.2422839978695893	3.652973174188571	4.219674178058217e-14	4.219332844287219e-14	3.652979270738856
0.2907407974435072	3.341416563052209	5.737269868389729e-14	5.737185550841302e-14	3.341419700986242
0.3488889569322086	2.789054223047621	8.696356446691819e-14	8.698285576975816e-14	2.789055001823311
0.4186667483186503	3.503611869367977	9.854412382511304e-14	9.862178032906328e-14	3.503624027989455
0.5024000979823803	2.90522534700516	1.506095921530008e-13	1.506866677518235e-13	2.905227792250801
0.6028801175788564	3.112119311577485	1.677123572795481e-13	1.678475780593095e-13	3.112123466863205
0.7234561410946276	3.332458788703415	1.86707442530646e-13	1.865289273710504e-13	3.332479087137126
0.8681473693135531	3.311972775127499	1.989330654914676e-13	1.988268905864331e-13	3.31200001716043
1.041776843176264	3.194155429188027	2.323032580563338e-13	2.326252695107918e-13	3.194172771059939
1.250132211811516	3.018988061928108	3.204332000470342e-13	3.207832229474596e-13	3.018995031121336
1.500158654173819	3.145073870546322	1.591444406445115e-13	1.591129529035091e-13	3.14509288129778
1.800190385008583	3.14538464028087	6.120828517808537e-14	6.12927092426356e-14	3.145408635271191
2.1602284620103	3.072445197028814	3.680140711052041e-13	3.680070383468595e-13	3.072486182100389
2.59227415441236	3.067498189887628	4.38613175346784e-13	4.390008150469141e-13	3.067517887932866
